scope,condition,dose,visible_dose,n,mean_rating_score,rating_score_ci_low,rating_score_ci_high,buy_rate,buy_or_overweight_rate,uses_prior_precedent_rate,supplypulse_validated_rate,acknowledges_dissent_rate,mean_implanted_visible_count
cross_ticker,central_negative,0,0,5,2.0,2.0,2.0,0.0,0.0,0.2,0.0,1.0,0
cross_ticker,central_negative,1,1,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
cross_ticker,central_negative,2,2,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
cross_ticker,central_negative,3,3,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
cross_ticker,central_negative,5,3,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
cross_ticker,central_negative,8,3,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
cross_ticker,central_positive,0,0,5,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0
cross_ticker,central_positive,1,1,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
cross_ticker,central_positive,2,2,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
cross_ticker,central_positive,3,3,5,2.0,2.0,2.0,0.0,0.0,1.0,0.4,1.0,0
cross_ticker,central_positive,5,3,5,2.0,2.0,2.0,0.0,0.0,1.0,0.8,1.0,0
cross_ticker,central_positive,8,3,5,2.0,2.0,2.0,0.0,0.0,1.0,0.6,1.0,0
cross_ticker,no_feature_positive,0,0,5,2.0,2.0,2.0,0.0,0.0,0.2,0.0,1.0,0
cross_ticker,no_feature_positive,1,1,5,2.0,2.0,2.0,0.0,0.0,0.6,0.0,1.0,0
cross_ticker,no_feature_positive,2,2,5,2.0,2.0,2.0,0.0,0.0,0.8,0.0,1.0,0
cross_ticker,no_feature_positive,3,3,5,2.0,2.0,2.0,0.0,0.0,0.2,0.0,1.0,0
cross_ticker,no_feature_positive,5,3,5,2.0,2.0,2.0,0.0,0.0,0.8,0.0,1.0,0
cross_ticker,no_feature_positive,8,3,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
cross_ticker,peripheral_positive,0,0,5,2.0,2.0,2.0,0.0,0.0,0.2,0.0,1.0,0
cross_ticker,peripheral_positive,1,1,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
cross_ticker,peripheral_positive,2,2,5,2.0,2.0,2.0,0.0,0.0,0.8,0.0,1.0,0
cross_ticker,peripheral_positive,3,3,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
cross_ticker,peripheral_positive,5,3,5,2.0,2.0,2.0,0.0,0.0,0.8,0.0,1.0,0
cross_ticker,peripheral_positive,8,3,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
same_ticker,central_negative,0,0,5,2.0,2.0,2.0,0.0,0.0,0.4,0.0,1.0,0
same_ticker,central_negative,1,1,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
same_ticker,central_negative,2,2,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
same_ticker,central_negative,3,3,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
same_ticker,central_negative,5,5,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
same_ticker,central_negative,8,5,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
same_ticker,central_positive,0,0,5,2.0,2.0,2.0,0.0,0.0,0.4,0.0,1.0,0
same_ticker,central_positive,1,1,5,2.0,2.0,2.0,0.0,0.0,0.8,0.0,1.0,0
same_ticker,central_positive,2,2,5,2.0,2.0,2.0,0.0,0.0,1.0,0.4,1.0,0
same_ticker,central_positive,3,3,5,2.0,2.0,2.0,0.0,0.0,1.0,0.8,1.0,0
same_ticker,central_positive,5,5,5,2.0,2.0,2.0,0.0,0.0,1.0,0.8,1.0,0
same_ticker,central_positive,8,5,5,2.0,2.0,2.0,0.0,0.0,1.0,0.6,1.0,0
same_ticker,no_feature_positive,0,0,5,2.0,2.0,2.0,0.0,0.0,0.4,0.0,1.0,0
same_ticker,no_feature_positive,1,1,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
same_ticker,no_feature_positive,2,2,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
same_ticker,no_feature_positive,3,3,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
same_ticker,no_feature_positive,5,5,5,2.0,2.0,2.0,0.0,0.0,0.8,0.0,1.0,0
same_ticker,no_feature_positive,8,5,5,2.0,2.0,2.0,0.0,0.0,1.0,0.2,1.0,0
same_ticker,peripheral_positive,0,0,5,2.0,2.0,2.0,0.0,0.0,0.6,0.0,1.0,0
same_ticker,peripheral_positive,1,1,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
same_ticker,peripheral_positive,2,2,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
same_ticker,peripheral_positive,3,3,5,2.0,2.0,2.0,0.0,0.0,1.0,0.2,1.0,0
same_ticker,peripheral_positive,5,5,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
same_ticker,peripheral_positive,8,5,5,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
