victim,operator,mode,condition,n,continuation_count,continuation_rate,ci95_low,ci95_high,deterministic_rate,exact_name_rate,history_validation_rate,switch_away_rate,selection_bias_ack_rate,sealed_failure_respected_rate
quantaalpha,crossover,native_feedback,diverse_success,30,0,0.0,0.0,0.11351339317396876,0,0,0.06666666666666667,0.9,0,0.6
quantaalpha,crossover,native_feedback,holdout_revealed_soft,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874,0.9666666666666667,0.06666666666666667,0.6333333333333333,0.03333333333333333,0.4,0.5
quantaalpha,crossover,native_feedback,same_family_null,30,0,0.0,0.0,0.11351339317396876,0,0,0.13333333333333333,0.9666666666666667,0.03333333333333333,0.7333333333333333
quantaalpha,crossover,native_feedback,sealed_hard_gate,30,9,0.3,0.16664748268243793,0.47875787458714947,0.5,0,0.3333333333333333,0.5333333333333333,0.1,0.5666666666666667
quantaalpha,crossover,native_feedback,selected_family,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874,0.9333333333333333,0.06666666666666667,0.5,0.03333333333333333,0.13333333333333333,0.4
quantaalpha,crossover,native_feedback,selected_then_failure,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874,1,0,0.5,0.03333333333333333,0.06666666666666667,0.6333333333333333
quantaalpha,crossover,native_feedback,selection_disclosed,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295,0.9666666666666667,0.03333333333333333,0.4666666666666667,0,0.7666666666666667,0.3333333333333333
quantaalpha,crossover,raw_trace,diverse_success,30,0,0.0,0.0,0.11351339317396876,0,0,0,0.9333333333333333,0,0.7333333333333333
quantaalpha,crossover,raw_trace,same_family_null,30,0,0.0,0.0,0.11351339317396876,0,0,0,0.9666666666666667,0,0.7333333333333333
quantaalpha,crossover,raw_trace,selected_family,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295,0.9,0.03333333333333333,0.36666666666666664,0,0.13333333333333333,0.5333333333333333
quantaalpha,mutation,native_feedback,diverse_success,30,24,0.8,0.6269430358685175,0.9049489282271013,0.43333333333333335,0,0.1,0.8,0.26666666666666666,0.23333333333333334
quantaalpha,mutation,native_feedback,holdout_revealed_soft,30,0,0.0,0.0,0.11351339317396876,0.3,0,0,1,0.36666666666666664,0.6
quantaalpha,mutation,native_feedback,same_family_null,30,0,0.0,0.0,0.11351339317396876,0.13333333333333333,0,0.06666666666666667,1,0.3333333333333333,0.5666666666666667
quantaalpha,mutation,native_feedback,sealed_hard_gate,30,0,0.0,0.0,0.11351339317396876,0.26666666666666666,0,0.03333333333333333,1,0.36666666666666664,0.6333333333333333
quantaalpha,mutation,native_feedback,selected_family,30,0,0.0,0.0,0.11351339317396876,0.26666666666666666,0,0.06666666666666667,1,0.26666666666666666,0.4
quantaalpha,mutation,native_feedback,selected_then_failure,30,0,0.0,0.0,0.11351339317396876,0.13333333333333333,0,0.06666666666666667,1,0.5,0.6
quantaalpha,mutation,native_feedback,selection_disclosed,30,0,0.0,0.0,0.11351339317396876,0.3333333333333333,0,0.1,1,0.43333333333333335,0.6333333333333333
quantaalpha,mutation,raw_trace,diverse_success,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,0.43333333333333335,0,0.03333333333333333,0.8666666666666667,0.13333333333333333,0.3
quantaalpha,mutation,raw_trace,same_family_null,30,0,0.0,0.0,0.11351339317396876,0.26666666666666666,0,0.13333333333333333,1,0.36666666666666664,0.6333333333333333
quantaalpha,mutation,raw_trace,selected_family,30,0,0.0,0.0,0.11351339317396876,0.4,0,0.03333333333333333,1,0.23333333333333334,0.6
rdagent,next_hypothesis,native_feedback,diverse_success,15,11,0.7333333333333333,0.4804956594401943,0.8910254667430761,0,0,0.7333333333333333,0.4,0.26666666666666666,0.4666666666666667
rdagent,next_hypothesis,native_feedback,holdout_revealed_soft,15,9,0.6,0.357468301206246,0.8017550385865841,0.6666666666666666,0,1,0.4,0.6,0.6666666666666666
rdagent,next_hypothesis,native_feedback,same_family_null,15,0,0.0,0.0,0.20388330103584862,0.4,0,0.9333333333333333,1,0.8,0.6666666666666666
rdagent,next_hypothesis,native_feedback,sealed_hard_gate,15,9,0.6,0.357468301206246,0.8017550385865841,0.8,0,0.9333333333333333,0.4,0.4,0.7333333333333333
rdagent,next_hypothesis,native_feedback,selected_family,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346,0.6666666666666666,0.06666666666666667,1,0.13333333333333333,0.4666666666666667,0.4666666666666667
rdagent,next_hypothesis,native_feedback,selected_then_failure,15,14,0.9333333333333333,0.7018347012621998,0.9881331045067315,0.8,0,1,0.06666666666666667,0.3333333333333333,0.5333333333333333
rdagent,next_hypothesis,native_feedback,selection_disclosed,15,5,0.3333333333333333,0.1517632443971473,0.5828645226148023,0.8,0,0.8,0.6666666666666666,1,0.4666666666666667
rdagent,next_hypothesis,raw_trace,diverse_success,15,14,0.9333333333333333,0.7018347012621998,0.9881331045067315,0.06666666666666667,0,0.8666666666666667,0.26666666666666666,0.7333333333333333,0.06666666666666667
rdagent,next_hypothesis,raw_trace,same_family_null,15,0,0.0,0.0,0.20388330103584862,0.3333333333333333,0,1,1,0.5333333333333333,0.7333333333333333
rdagent,next_hypothesis,raw_trace,selected_family,15,6,0.4,0.1982449614134158,0.6425316987937539,0.2,0.13333333333333333,0.8,0.6,0.6666666666666666,0.6
